,b0,b1,b2,b3,dt,stationId,w
0,60,60,57,48,2017-05-13 03:30:41.554,480049000c51343334363138,0
1,60,59,56,48,2017-05-13 11:50:55.993,480049000c51343334363138,0
2,60,60,57,50,2017-06-08 19:50:03.426,480049000c51343334363138,0
3,60,59,56,50,2017-06-09 05:20:34.174,480049000c51343334363138,0
4,77,75,71,64,2017-06-09 17:25:33.993,480049000c51343334363138,0
5,93,78,74,67,2017-06-09 21:45:33.002,480049000c51343334363138,0
6,81,77,74,67,2017-06-10 01:55:31.911,480049000c51343334363138,0
7,79,77,74,67,2017-06-10 06:05:31.098,480049000c51343334363138,0
8,81,77,74,67,2017-06-10 10:15:31.338,480049000c51343334363138,0
9,94,77,74,67,2017-06-10 14:25:28.250,480049000c51343334363138,0
10,80,79,77,69,2017-06-16 15:40:35.411,480049000c51343334363138,0
11,81,81,75,68,2017-06-16 19:50:33.330,480049000c51343334363138,0
12,79,78,76,68,2017-06-17 00:00:32.057,480049000c51343334363138,0
13,80,79,77,69,2017-06-17 04:10:32.886,480049000c51343334363138,0
14,78,78,76,69,2017-06-17 08:20:31.155,480049000c51343334363138,0
15,78,78,75,68,2017-06-17 12:30:31.404,480049000c51343334363138,0
16,81,79,76,68,2017-06-17 16:40:27.881,480049000c51343334363138,0
17,80,80,74,68,2017-06-17 20:50:29.179,480049000c51343334363138,0
18,82,78,77,69,2017-06-18 01:00:25.996,480049000c51343334363138,0
19,79,78,76,69,2017-06-18 05:10:26.469,480049000c51343334363138,0
20,79,78,76,69,2017-06-18 09:20:24.144,480049000c51343334363138,0
21,81,79,78,69,2017-06-18 13:35:35.118,480049000c51343334363138,0
22,79,78,76,68,2017-06-18 17:50:35.736,480049000c51343334363138,0
23,79,79,75,68,2017-06-18 22:00:32.989,480049000c51343334363138,0
24,84,79,77,70,2017-06-19 02:10:32.563,480049000c51343334363138,0
25,79,77,76,68,2017-06-19 06:20:31.737,480049000c51343334363138,0
26,81,78,77,70,2017-06-19 10:30:29.329,480049000c51343334363138,0
27,88,79,77,69,2017-06-19 14:40:29.648,480049000c51343334363138,0
28,80,78,77,70,2017-06-19 18:50:27.829,480049000c51343334363138,0
29,79,78,76,69,2017-06-19 23:00:26.292,480049000c51343334363138,0
30,81,78,76,69,2017-06-20 03:10:25.321,480049000c51343334363138,0
31,79,77,75,68,2017-06-20 07:20:24.668,480049000c51343334363138,0
32,82,79,76,68,2017-06-22 17:45:35.817,480049000c51343334363138,0
33,80,79,76,68,2017-06-22 21:55:32.300,480049000c51343334363138,0
34,80,78,77,70,2017-06-23 03:15:31.104,480049000c51343334363138,0
35,79,78,76,69,2017-06-23 08:45:30.220,480049000c51343334363138,0
36,80,78,77,70,2017-06-23 12:55:29.947,480049000c51343334363138,0
37,86,81,78,69,2017-06-23 17:05:28.323,480049000c51343334363138,0
38,79,78,75,68,2017-06-23 21:15:27.555,480049000c51343334363138,0
39,82,78,77,69,2017-06-24 01:25:27.276,480049000c51343334363138,0
40,79,78,76,69,2017-06-24 05:35:25.216,480049000c51343334363138,0
41,79,78,76,69,2017-06-24 09:45:23.985,480049000c51343334363138,0
42,81,78,77,69,2017-06-24 13:55:22.250,480049000c51343334363138,0
43,83,81,77,68,2017-06-24 18:05:22.237,480049000c51343334363138,0
44,78,78,75,68,2017-06-24 22:15:21.573,480049000c51343334363138,0
45,81,78,77,70,2017-06-25 02:25:19.081,480049000c51343334363138,0
